id,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE/SF,LATITUDE,LONGITUDE
427,Multi-Family (2-4 Unit),120-11 153rd St,Jamaica,NY,11434,839000,6,4.5,Jamaica,2500,3000,2017,455,336,40.677996,-73.788502
428,Condo/Co-op,4612 6th Ave Apt 4f,,NY,11220,450000,2,1,Brooklyn,500,,1928,455,900,40.645919,-74.006296
429,Condo/Co-op,4735 41st St Apt 4e,,NY,11104,475000,1,1,Long Island City,524,,1985,454,906,40.7405891,-73.9235735
430,Single Family Residential,455 Lexington Ave,Brooklyn,NY,11221,999999,4,3.75,Brooklyn,2160,2000,1899,449,463,40.688708,-73.943883
431,Condo/Co-op,47-20 42nd St,Long Island City,NY,11104,445000,1,1,Long Island City,1000,16117,1938,447,445,40.7409909,-73.9231688
432,Condo/Co-op,85-09 151st Ave Apt 2a,Howard Beach,NY,11414,242999,1,1,Howard Beach,776,106722,1964,446,313,40.6686389,-73.849517
433,Multi-Family (2-4 Unit),303 Beach 91st St,Far Rockaway,NY,11693,699999,4,2,Far Rockaway,1706,2114,2008,442,410,40.5875526,-73.8154397
434,Condo/Co-op,571 Academy St #2,New York,NY,10034,555000,2,1,New York,1000,,1945,440,555,40.863755,-73.922992
435,Single Family Residential,13 Lake Ave,Brooklyn,NY,11235,425000,3,1,Brooklyn,524,1615,1920,440,811,40.5847219,-73.9383357
436,Multi-Family (2-4 Unit),1026 Bay Ridge Pkwy,Brooklyn,NY,11228,1400000,3,2,Brooklyn,1204,2083,1925,432,1163,40.623664,-74.0135449
437,Condo/Co-op,99 Kingsland Ave Apt 103,Brooklyn,NY,11222,520000,1,1,Brooklyn,497,7500,2005,425,1046,40.7198337,-73.9409932
438,Single Family Residential,67-27 171st St,Flushing,NY,11365,910000,3,2.5,Flushing,1296,4500,1950,424,702,40.7338305,-73.7982627
439,Single Family Residential,83-43 251st St,Jamaica,NY,11426,759000,4,2.75,Bellerose,1235,4000,1950,424,615,40.736207,-73.716459
440,Condo/Co-op,1901 Voorhies Ave Apt 4,Brooklyn,NY,11235,729000,3,2,Brooklyn,1169,,2006,421,624,40.5863974,-73.9499641
441,Condo/Co-op,150 W 51st St,New York,NY,10019,785000,1,1.25,Manhattan,712,712,1924,419,1103,40.7614321,-73.9825389
442,Multi-Family (2-4 Unit),37 Apollo St,Brooklyn,NY,11222,2400000,5,3,Brooklyn,2922,1900,1899,417,821,40.7253648,-73.9380602
443,Multi-Family (2-4 Unit),132 W 2nd St,Mt Vernon,NY,10550,619000,8,4,Mount Vernon,2640,6534,1920,403,234,40.9077158,-73.8415158
444,Condo/Co-op,144-30 Sanford Ave Apt 5u,Flushing,NY,11355,388888,1,1,Flushing,850,,1960,403,458,40.7588757,-73.8194372
445,Condo/Co-op,44-20 Douglaston Pkwy,Flushing,NY,11363,228888,1,1,Douglaston,590,,1965,398,388,40.7658809,-73.7453494
446,Condo/Co-op,3419 Boller Ave #1,Bronx,NY,10475,459000,4,3.5,Bronx,2085,2500,1950,398,220,40.880369,-73.835386
447,Multi-Family (2-4 Unit),137-29 159th St,Jamaica,NY,11434,625000,6,2.5,Jamaica,2772,3000,1965,393,225,40.670043,-73.776117
448,Townhouse,63 Patchen Ave,Brooklyn,NY,11221,1165000,6,2,Brooklyn,2950,2000,1899,392,395,40.6900941,-73.9272669
449,Multi-Family (2-4 Unit),1724 Popham Ave,Bronx,NY,10453,705000,9,5,Bronx,1920,5218,1930,386,367,40.8504519,-73.9195776
450,Multi-Family (2-4 Unit),4439 Matilda Ave,Bronx,NY,10470,610000,5,3.5,Bronx,2178,5000,1930,386,280,40.900238,-73.855667
451,Condo/Co-op,3514 206st Bayside Ny 11361 #354,Bayside,NY,11361,229000,1,1,Bayside,,,1955,385,,40.7664092,-73.7818651
452,Single Family Residential,89-79 218th Pl,Queens Village,NY,11427,629000,4,3,Queens Village,1420,3400,1930,377,443,40.726457,-73.7431639
453,Single Family Residential,2711 Claflin Ave,Bronx,NY,10468,695000,3,2.5,Bronx,1368,2224,1899,363,508,40.8694183,-73.901487
454,Condo/Co-op,80 E End Ave,New York,NY,10028,467500,0,1,New York,500,,1958,362,935,40.7731393,-73.9462962
455,Single Family Residential,12-14 149th St,Flushing,NY,11357,589000,1,1,Whitestone,815,1750,1915,361,723,40.7897246,-73.8167274
456,Multi-Family (2-4 Unit),1-72 Beach 120th St,Rockaway Park,NY,11694,899000,6,4,Rockaway Park,3043,4000,1929,357,295,40.577943,-73.839849
457,Single Family Residential,88-30 186th St,Jamaica,NY,11423,750000,4,2.75,Jamaica,1704,2600,1920,357,440,40.713527,-73.7758939
458,Single Family Residential,129-11 97th Ave,Jamaica,NY,11419,575000,3,2.5,Queens,1,2521,1920,326,575000,40.6937179,-73.818477
459,Condo/Co-op,89 Metropolitan Oval Apt 12c,Bronx,NY,10462,290000,3,1,Bronx,1200,1200,1941,326,242,40.8383814,-73.8609355
460,Condo/Co-op,85-10 Elmhurst Ave Apt 6b,Flushing,NY,11373,565000,2,2,Elmhurst,1010,,2009,321,559,40.7432743,-73.8793756
461,Single Family Residential,1390 Richmond Ter,,NY,10310,2700000,0,,Staten Island,20000,30056,1960,306,135,40.641643,-74.11514
462,Single Family Residential,45-12 Bowne St,Flushing,NY,11355,1000099,3,2,Flushing,1200,,1965,305,833,40.753398,-73.818287
463,Condo/Co-op,70-8 261st St Unit 2nd,,NY,11004,215000,1,1,Glen Oaks,585,,1950,295,368,40.7533616,-73.7186185
464,Multi-Family (2-4 Unit),25-68 127th St,Flushing,NY,11354,1000000,4,2.5,Flushing,1912,2068,1960,295,523,40.774594,-73.842083
465,Single Family Residential,1652 Marine Pkwy,Brooklyn,NY,11234,949000,3,1,Brooklyn,1392,3100,1925,294,682,40.612298,-73.942154
466,Townhouse,51 Wooster St,New York,NY,10013,9250000,5,3,New York,4600,1350,1900,291,2011,40.7228118,-74.0024555
467,Multi-Family (2-4 Unit),726 Blake Ave,,NY,11207,2750000,16,6,Brooklyn,,,2018,281,,40.6681799,-73.8916148
468,Condo/Co-op,440 Kent Ave Apt 22a,Brooklyn,NY,11249,3000000,3,2.5,Brooklyn,1790,,2003,280,1676,40.7092195,-73.9692531
469,Condo/Co-op,34 Crooke Ave Unit 2d,Brooklyn,NY,11226,599000,1,2,Brooklyn,804,804,2007,279,745,40.6519273,-73.9642
470,Single Family Residential,1071 5th Ave,New York,NY,10128,309900,4,3.5,New York,2820,7200,1988,272,110,40.7829796,-73.9589706
471,Multi-Family (2-4 Unit),2265 Powell Ave,Bronx,NY,10462,799000,4,3,Bronx,3800,5100,1920,271,210,40.8316938,-73.8483762
472,Condo/Co-op,1289 E 19th St Apt B6,,NY,11230,365000,2,1,Brooklyn,1100,,1931,267,332,40.618981,-73.955876
473,Multi-Family (2-4 Unit),151-1 17th Ave,Whitestone,NY,11357,1588000,6,4,Whitestone,2536,371,2018,253,626,40.7839503,-73.8116196
474,Townhouse,14 Patty Ct,Staten Island,NY,10312,439000,2,1.5,Staten Island,1354,1734,1991,253,324,40.551365,-74.1638022
475,Condo/Co-op,2131 78th St #1,Flushing,NY,11370,449000,1,1,East Elmhurst,639,,1939,253,703,40.7696759,-73.8912909
476,Multi-Family (2-4 Unit),2407 Brookhaven Ave,Far Rockaway,NY,11691,495000,6,4,Far Rockaway,2050,2400,2009,252,241,40.5996425,-73.7607598
477,Multi-Family (2-4 Unit),989 Rogers Ave,Brooklyn,NY,11226,1349000,5,4,Brooklyn,4020,2032,1901,252,336,40.6459936,-73.9518247
478,Multi-Family (2-4 Unit),167-08 144th Dr,Jamaica,NY,11434,859000,6,3.5,Jamaica,2072,3853,1950,244,415,40.664903,-73.775374
479,Condo/Co-op,34-32 35th St Unit 3a,Long Island City,NY,11106,2000000,2,2,Astoria,975,,2016,239,2051,40.757464,-73.924959
480,Multi-Family (2-4 Unit),175 Auburn Ave,Staten Island,NY,10314,1199000,6,4,Staten Island,2808,4945,1965,235,427,40.612465,-74.1476451
481,Condo/Co-op,119 E 101st St Apt 1a,New York,NY,10029,950000,2,1,New York,890,2624,1920,232,1067,40.7896107,-73.9493686
482,Multi-Family (2-4 Unit),167-10 Highland Ave,,NY,11432,2000000,6,4,Jamaica,5459,3243,1980,232,366,40.711433,-73.7959898
483,Multi-Family (2-4 Unit),217-14 Hempstead Ave,,NY,11429,949000,1,1,Queens Village,3400,2600,1922,230,279,40.7145881,-73.7410053
484,Multi-Family (2-4 Unit),145-64 177th Pl,,NY,11434,879000,6,6,Queens,,4000,2018,230,,40.663847,-73.7697546
485,Multi-Family (2-4 Unit),132-22 157th St,Jamaica,NY,11434,879000,6,6,Queens,,4000,2018,230,,40.6725312,-73.7808571
486,Multi-Family (2-4 Unit),127-14 Sidway Pl,,NY,11434,879000,6,6,Queens,,4000,2018,230,,40.682028,-73.7635866
487,Multi-Family (2-4 Unit),250 Van Brunt St,,NY,11231,3450000,3,3,Brooklyn,2500,1800,1899,230,1380,40.6806896,-74.0092809
488,Townhouse,"238 S 3rd St Apt 3 Brooklyn, Ny 11211",,NY,11211,1100000,1,1.5,Brooklyn,1032,1032,2007,230,1066,40.7107734,-73.9583848
489,Townhouse,85B Freedom Ave,,NY,10314,485000,3,2.5,Staten Island,1836,3000,1983,225,264,40.597884,-74.1636886
490,Condo/Co-op,71-20 162nd St Fl 2,,NY,11365,590000,2,2,Fresh Meadows,960,,1988,224,615,40.7297504,-73.807356
491,Condo/Co-op,48-56 44th St Apt 1k,,NY,11377,329000,1,1,Woodside,650,114127,1931,223,506,40.7379001,-73.9217747
492,Multi-Family (2-4 Unit),69 Dehart Ave,Staten Island,NY,10303,780000,6,2,Staten Island,2408,4000,1910,223,324,40.6349474,-74.1567278
493,Single Family Residential,1620 Shore Blvd,Brooklyn,NY,11235,1790000,4,3.5,Brooklyn,3000,2240,2003,223,597,40.5805903,-73.9382668
494,Condo/Co-op,136-21 Latimer Pl,,NY,11354,800000,2,1,Flushing,700,,2015,215,1143,40.7669399,-73.8307495
495,Single Family Residential,134-12 Linden Blvd,,NY,11420,695000,2,0.75,South Ozone Park,2000,2000,1960,211,348,40.682281,-73.807333
496,Condo/Co-op,1530 Archer Rd,Bronx,NY,10462,275000,3,1,Bronx,1000,1000,1920,210,275,40.8386179,-73.862172
497,Condo/Co-op,84-50 169th St Apt 616,Jamaica,NY,11432,126000,1,1,Jamaica,500,,1960,208,252,40.7147444,-73.7955162
498,Multi-Family (2-4 Unit),1793 Mansion St,Bronx,NY,10460,599000,5,3,Bronx,2208,1224,1901,207,271,40.8381713,-73.8677495
499,Single Family Residential,133 Baden Pl,Staten Island,NY,10306,719999,4,2.25,Staten Island,1800,2000,2000,201,400,40.573444,-74.0904383
500,Single Family Residential,301 Hunter Ave,Staten Island,NY,10306,825000,6,3,Staten Island,2322,5104,1955,201,355,40.579222,-74.098961
501,Condo/Co-op,161 W 61st St,New York,NY,10023,700000,2,1.5,New York,820,20000,1961,201,854,40.7715383,-73.9858725
502,Single Family Residential,73-48 195th St,Flushing,NY,11366,987000,3,1.5,Fresh Meadows,1818,4000,1942,196,543,40.733431,-73.777393
503,Multi-Family (2-4 Unit),2058 Pacific St,Brooklyn,NY,11233,740000,6,3,Brooklyn,2504,1786,1901,196,296,40.6757196,-73.9173475
504,Multi-Family (2-4 Unit),2017 E 53rd St,Brooklyn,NY,11234,899000,6,4.5,Brooklyn,972,3001,1930,189,925,40.6117679,-73.9229162
505,Condo/Co-op,"110-20 71st Ave Apt 502,",,NY,11375,383000,1,1.25,Forest Hills,900,900,1973,183,426,40.7224092,-73.8406658
506,Multi-Family (2-4 Unit),39-44 58th St,Flushing,NY,11377,1300000,6,2.5,Woodside,2000,2500,1920,182,650,40.746706,-73.906198
507,Multi-Family (2-4 Unit),446 Woodrow Rd,Staten Island,NY,10312,899000,4,3.25,Staten Island,2970,5471,1980,169,303,40.5539742,-74.1840649
508,Multi-Family (2-4 Unit),577 Arden Ave,Staten Island,NY,10312,1050000,4,2.5,Staten Island,3376,6000,2010,169,311,40.5481814,-74.1831018
509,Single Family Residential,10484 164th St,Jamaica,NY,11433,579000,3,2.75,Jamaica,,,1925,166,,40.7053678,-73.7958279
510,Condo/Co-op,13629 Jewel Ave,,NY,11367,249000,1,1,Flushing,700,,1950,163,356,40.7290353,-73.8290397
511,Single Family Residential,280 Livermore Ave,Staten Island,NY,10314,649995,3,1,Staten Island,1260,4050,1930,155,516,40.6173458,-74.1389175
512,Townhouse,380 Webster Ave,Brooklyn,NY,11230,1149000,4,2,Brooklyn,1400,,1935,149,821,40.6340379,-73.967759
513,Multi-Family (2-4 Unit),229 Beach 130th St,Rockaway Park,NY,11694,1300000,4,2,Far Rockaway,1997,6000,1930,145,651,40.5764353,-73.8494242
514,Multi-Family (2-4 Unit),1057 St,Brooklyn,NY,11230,1500000,8,3,Midwood,3372,,1922,145,445,40.6190629,-73.9653715
515,Single Family Residential,115-44 Van Wyck Expy,Jamaica,NY,11420,629000,3,2.5,Jamaica,1690,,,142,372,40.679609,-73.804976
516,Single Family Residential,5 Paddock Ln,Great Neck,NY,11020,3488888,6,4.5,Great Neck,4952,11325,2006,141,705,40.7701576,-73.7240877
517,Multi-Family (2-4 Unit),140-22 159th St,,NY,11434,760000,5,3,Jamaica,1669,3000,1960,140,455,40.6689893,-73.7764995
518,Multi-Family (2-4 Unit),697 Van Siclen Ave,Brooklyn,NY,11207,785000,7,2,Brooklyn,2460,2500,1925,140,319,40.6626459,-73.8869171
519,Condo/Co-op,2120 Ocean Ave,Brooklyn,NY,11229,375000,1,1,Brooklyn,595,,2005,134,630,40.6100529,-73.9538229
520,Single Family Residential,23-01 149th St,Flushing,NY,11357,899999,3,2,Flushing,1760,2581,1970,133,511,40.777955,-73.8171459
521,Single Family Residential,511 Naughton Ave,Staten Island,NY,10305,629000,4,2.25,Staten Island,2000,2500,1977,132,315,40.580756,-74.087497
522,Condo/Co-op,29-30 138th St,Flushing,NY,11354,390000,2,1.5,Flushing,234456,104979,1961,127,2,40.7707693,-73.8308329
523,Single Family Residential,215th Pl,,NY,11360,1600000,4,3,"Weeks Woodland, Bayside",,,,122,,40.7736944,-73.7702539
524,Condo/Co-op,15 St Marks Pl Apt 3b,New York,NY,10003,980000,1,1,New York,650,2934,2004,109,1508,40.729263,-73.988884
525,Condo/Co-op,2187 Holland Ave Apt 2a,Bronx,NY,10462,89000,1,1,Bronx,670,,1930,105,133,40.8558351,-73.8658889
526,Single Family Residential,28 Marne Ave,Staten Island,NY,10312,748800,4,3,Staten Island,4000,5000,1990,103,187,40.554509,-74.174051
527,Single Family Residential,245 Legion St,Brooklyn,NY,11212,699000,4,2,Brooklyn,1400,1598,1930,98,499,40.6627339,-73.9165207
528,Condo/Co-op,125 E 12th St,New York,NY,10003,3250000,3,3.5,New York,2276,,2011,98,1428,40.7324199,-73.988719
529,Condo/Co-op,3 Fordham Hill Oval Apt 2c,Bronx,NY,10468,240000,2,1,Bronx,965,965,1956,97,249,40.8646489,-73.9082109
530,Multi-Family (2-4 Unit),116 Rivington Ave,Staten Island,NY,10314,829000,6,2.75,Staten Island,2156,4100,1965,96,385,40.5975129,-74.1666357
531,Condo/Co-op,125 E 12th St Apt 1d,New York,NY,10003,3250000,3,3.5,New York,2276,,1988,96,1428,40.7324199,-73.988719
532,Condo/Co-op,350 E 62nd St Apt 3l,New York,NY,10065,810000,1,1,New York,726,12632,1918,95,1116,40.7615278,-73.9611465
533,Condo/Co-op,45 Martense St Apt 2h,Brooklyn,NY,11226,469000,1,1,Brooklyn,1000,16552,1937,95,469,40.651597,-73.9575654
534,Single Family Residential,78th St,Middle Village,NY,11379,1350000,3,3.5,Middle Village,2776,,1960,93,486,40.721934,-73.878602
535,Condo/Co-op,3530 Henry Hudson Pkwy Apt 15e,Bronx,NY,10463,790000,3,2,Bronx,1900,,1955,91,416,40.8865101,-73.9115947
536,Ranch,145th Rd,Queens,NY,11413,450000,3,1.5,Springfield Gardens,,,1955,89,,40.661352,-73.752176
537,Multi-Family (2-4 Unit),376 Cary Ave,Staten Island,NY,10310,579000,4,2,Staten Island,1524,6000,1905,85,380,40.6327665,-74.1144758
538,Single Family Residential,170-38 Cedarcroft Rd,Jamaica,NY,11432,1199000,4,3,Jamaica,2700,2613600,1920,83,444,40.711849,-73.791511
539,Single Family Residential,84 Nautilus St,Staten Island,NY,10305,499000,4,2.5,Staten Island,864,2501,1915,81,578,40.6104304,-74.0628407
540,Condo/Co-op,7259 Shore Rd,Brooklyn,NY,11209,274000,0,1,Brooklyn,500,54885,1955,81,548,40.634847,-74.036407
541,Single Family Residential,114-36 203rd St,Jamaica,NY,11412,559000,3,2,Jamaica,1800,2000,1945,77,311,40.699611,-73.751823
542,Single Family Residential,88-05 190th St,Jamaica,NY,11423,699000,3,1,Hollis,1670,3200,1925,76,419,40.7154798,-73.7715287
543,Single Family Residential,160-26 130th Ave,Jamaica,NY,11434,679000,3,2,Jamaica,1920,960,1950,74,354,40.675406,-73.7793049
544,Multi-Family (2-4 Unit),883 Albany Ave,Brooklyn,NY,11203,799999,6,2,Brooklyn,2880,2000,1910,70,278,40.6522363,-73.9388868
545,Condo/Co-op,317 W 95th St,New York,NY,10025,1450000,2,1,Manhattan,1000,,1989,70,1450,40.7952266,-73.9747613
546,Condo/Co-op,200 E 24th St,New York,NY,10010,740000,1,1,New York,850,,1972,69,871,40.7391221,-73.9824903
547,Condo/Co-op,233 W 21st St Apt 1e,New York,NY,10011,695000,1,1,New York,550,4938,1920,69,1264,40.7436251,-73.9980389
548,Condo/Co-op,1289 E 19th St,Brooklyn,NY,11230,309000,1,1,Brooklyn,980,18295,1931,63,315,40.618981,-73.955876
549,Multi-Family (2-4 Unit),37 Culotta Ln,Staten Island,NY,10309,795000,3,2.5,Pleasant Plains/richmond Valley,1536,,2000,63,518,40.5078521,-74.2274474
550,Single Family Residential,50 Lyman Ave,Staten Island,NY,10305,935000,4,4,Staten Island,3000,2500,2006,61,312,40.6069251,-74.0632308
551,Single Family Residential,67 Tibbetts Rd,Yonkers,NY,10705,440000,4,2,Yonkers,1500,7405,1940,60,293,40.9099713,-73.8835983
552,Single Family Residential,62-26 79th St,Flushing,NY,11379,788000,2,2,Middle Village,1700,18100,1940,60,464,40.722007,-73.878296
553,Condo/Co-op,1865 211th St,Bayside,NY,11360,649000,3,2,Bayside,1500,,1960,60,433,40.7807992,-73.7810042
554,Single Family Residential,250 W 15th St Apt 6f,New York,NY,10011,1120000,1,1,New York,,,1930,59,,40.739902,-74.0013214
555,Condo/Co-op,2 Elmwood Park Dr,Staten Island,NY,10314,284500,1,1,Staten Island,649,827,1970,57,438,40.5821909,-74.1617288
556,Single Family Residential,80 Justin Ave,,NY,10306,590000,3,1.5,Staten Island,1564,2475,1965,55,377,40.556203,-74.135641
557,Multi-Family (2-4 Unit),1861 70th St,Brooklyn,NY,11204,1050000,6,2,Brooklyn,1666,1900,1940,55,630,40.6154279,-73.9913475
558,Multi-Family (2-4 Unit),1636 Eastern Pkwy,,NY,11233,490000,5,2,Brooklyn,1120,1600,1901,55,438,40.6717592,-73.9139289
559,Condo/Co-op,140 W 23rd St,New York,NY,10011,1050000,0,1,New York,613,,1950,54,1713,40.743236,-73.9943432
560,Condo/Co-op,"95 Madison St Apt 2c, New York, Ny 10002",New York,NY,10002,560000,1,1,New York,391,,1995,54,1432,40.7123399,-73.995559
561,Condo/Co-op,222 E 82nd St Apt 5h,New York,NY,10028,998888,2,1,New York,900,,1928,54,1110,40.7755702,-73.9547872
562,Single Family Residential,217 Mallory Ave,Staten Island,NY,10305,768800,3,2,Staten Island,1008,4000,1964,53,763,40.5933405,-74.0771706
563,Condo/Co-op,325 5th Ave,New York,NY,10016,2450000,2,2,New York,1282,,,51,1911,40.7474748,-73.9850314
564,Multi-Family (2-4 Unit),450 Drumgoole Rd W,Staten Island,NY,10312,655000,5,3,Staten Island,2000,6532,1986,49,328,40.5596059,-74.173986
565,Condo/Co-op,3465 Amboy Rd Unit 2c,Staten Island,NY,10306,425000,2,2,Staten Island,1225,,1984,48,347,40.5577823,-74.1398286
566,Multi-Family (2-4 Unit),48-45 38th St,Long Island City,NY,11101,1348000,6,3,Long Island City,2040,1800,1940,48,661,40.738981,-73.927794
567,Condo/Co-op,73-94 Springfield Blvd,Oakland Gardens,NY,11364,345000,2,1,Bayside,600,6,1955,48,575,40.7402779,-73.751813
568,Multi-Family (2-4 Unit),172 Coffey St,Brooklyn,NY,11231,2500000,6,3,Brooklyn,2700,871200,1867,45,926,40.6776285,-74.0159313
569,Condo/Co-op,226 50th Ave,Long Island City,NY,11101,610000,0,1,Long Island City,439,,2011,45,1390,40.7432762,-73.9579327
570,Single Family Residential,258 Evergreen Ave,Staten Island,NY,10305,599000,3,2,Staten Island,1242,4515,1960,43,482,40.5897943,-74.0852471
571,Condo/Co-op,76-4 Springfield Blvd,Oakland Gardens,NY,11364,350000,2,1,Bayside,600,6,1955,43,583,40.738761,-73.752743
572,Condo/Co-op,202 -35 Foothill Ave Apt A71,Hollis,NY,11423,149000,1,1,Hollis,700,119354,1954,39,213,40.7211693,-73.7621732
573,Condo/Co-op,1213 Avenue Z Apt A25,,NY,11235,384900,2,1,Brooklyn,,,1960,39,,40.5881167,-73.9575194
574,Single Family Residential,74 Romer Rd,Staten Island,NY,10304,1099888,5,4,Staten Island,3060,12632,1965,36,359,40.5919334,-74.1045652
575,Single Family Residential,107 Knox Pl,Staten Island,NY,10314,928000,3,1.5,Staten Island,1750,4032,2016,36,530,40.6156261,-74.1183121
576,Multi-Family (2-4 Unit),813 Elsmere Pl,Bronx,NY,10460,421700,9,4.5,Bronx,3000,2500,1900,36,141,40.8430834,-73.8877562
577,Multi-Family (2-4 Unit),326 Bradford Ave,Staten Island,NY,10309,1174900,5,3.75,Staten Island,3500,6000,1986,33,336,40.5306596,-74.2033269
578,Multi-Family (2-4 Unit),335 Jefferson Ave,Staten Island,NY,10306,1045000,4,4,Staten Island,2192,7874,1970,33,477,40.5796906,-74.0959847
579,Condo/Co-op,537 W 133rd St Apt 31,New York,NY,10027,476000,2,1,New York,650,,1905,29,732,40.8183384,-73.9545947
580,Townhouse,26-28 212th St #1,,NY,11360,1899000,4,5,Bayside,3650,7500,2018,29,520,40.777257,-73.777776
581,Single Family Residential,60 Francesca Ln,Staten Island,NY,10303,445000,3,3,Staten Island,1324,1632,1988,28,336,40.6236653,-74.1607186
582,Single Family Residential,1670 Longfellow Ave,Bronx,NY,10460,200000,2,1,Bronx,6625,6625,1928,28,30,40.8347876,-73.8846319
583,Multi-Family (2-4 Unit),62 Corona Ave,Staten Island,NY,10306,720000,4,3,Staten Island,2058,,1985,27,350,40.564086,-74.137421
584,Multi-Family (2-4 Unit),1169 Yonkers Ave,Yonkers,NY,10704,1670000,7,4,Yonkers,6000,6000,1968,22,278,40.9145265,-73.8528396
585,Condo/Co-op,2 W 123rd St,New York,NY,10027,930000,1,1,Manhattan,842,,2008,22,1105,40.8058015,-73.945339
586,Condo/Co-op,223 78th St Apt 5b,Brooklyn,NY,11209,395000,1,1,Brooklyn,700,,1900,22,564,40.6299459,-74.0304254
587,Condo/Co-op,2230 76th St,Flushing,NY,11370,410000,1,1,East Elmhurst,690,690,1940,19,594,40.767681,-73.8936544
588,Townhouse,51 Willis Ave,Staten Island,NY,10301,599999,3,5,Staten Island,2010,3385,2005,18,299,40.6355543,-74.0829509
589,Single Family Residential,330 Hart Ave,Staten Island,NY,10310,769000,3,2,Staten Island,1608,4280,1924,18,478,40.6257121,-74.1059302
590,Multi-Family (2-4 Unit),43 Boundary Ave,Staten Island,NY,10306,850000,4,4,Staten Island,1900,,1997,18,447,40.5812103,-74.0973652
591,Multi-Family (2-4 Unit),178 Detroit Ave,Staten Island,NY,10312,999999,4,5,Staten Island,3680,,1920,18,272,40.5439832,-74.1789969
592,Condo/Co-op,322 Grasmere Dr,Staten Island,NY,10305,674900,4,3,Staten Island,2100,,1977,13,321,40.6019075,-74.0719771
593,Condo/Co-op,635 W 42nd St,New York,NY,10036,2000000,2,2,Manhattan,1050,1050,2007,13,1905,40.7617008,-73.9996228
594,Single Family Residential,3 Frederick St,Staten Island,NY,10314,525000,3,1,Staten Island,550,8300,1930,12,955,40.6141134,-74.133745
595,Single Family Residential,311 Edinboro Rd,Staten Island,NY,10306,899000,3,1.5,Staten Island,2000,4000,1986,12,450,40.5774725,-74.1377821
596,Condo/Co-op,84-29 153rd Ave Apt 1j,Howard Beach,NY,11414,275000,1,1,Jamaica,915,,1965,8,301,40.6667314,-73.8492082
597,Condo/Co-op,531 E 88th St,New York,NY,10128,720000,2,1.5,Manhattan,800,800,1905,5,900,40.7766912,-73.9445009
598,Single Family Residential,768 E 22nd St,Brooklyn,NY,11210,1999560,4,2,Brooklyn,2613,4000,1901,5,765,40.6335476,-73.9561189
599,Condo/Co-op,3730 83rd St,Flushing,NY,11372,269000,0,1,Jackson Heights,480,2000,1955,4,560,40.7488396,-73.8834214
600,Multi-Family (2-4 Unit),124-02 11th Ave,Flushing,NY,11356,980000,5,3,College Point,,2500,1928,2,,40.787743,-73.843662
601,Multi-Family (2-4 Unit),224 Midland Ave,Staten Island,NY,10306,799000,6,3,Staten Island,2100,,2004,1,380,40.5786521,-74.1040146
602,Multi-Family (2-4 Unit),24 St Andrews Pl,Brooklyn,NY,11216,1450000,6,4,Brooklyn,3200,,1915,1,453,40.6785887,-73.9433988
603,Single Family Residential,2063 E Ea 12 St,Brooklyn,NY,11223,1525000,3,2,Brooklyn,1664,2000,,1315,916,40.6006927,-73.9603651
604,Single Family Residential,28 Birch Ln,Staten Island,NY,10312,549000,3,3,Arden Heights,2500,2500,1970,1295,220,40.5551432,-74.1959548
605,Multi-Family (5+ Unit),1090 Richmond Rd,Staten Island,NY,10304,1499999,0,,Emerson Hill,3300,5035,1935,1295,455,40.6002338,-74.0919582
606,Vacant Land,28 Sand Ct,Staten Island,NY,10305,309900,0,,South Beach,,6164,,1295,,40.5913047,-74.0670867
607,Multi-Family (2-4 Unit),130 Jefferson Ave,Brooklyn,NY,11216,2399000,8,8.5,Brooklyn,4400,2000,,1220,545,40.6828375,-73.9523535
608,Condo/Co-op,518 Beach 139 St Unit C2,Belle Harbor,NY,11694,185000,2,1,Beach Channel Drive Corp,842,,1960,1216,220,40.5776238,-73.8585153
609,Vacant Land,138 Grymes Hill Rd,Staten Island,NY,10301,565000,0,,Grymes Hill,,14629,,1211,,40.6230532,-74.0933006
610,Single Family Residential,576 Lenox Rd,Brooklyn,NY,11203,1100000,,,Brooklyn,,5400,,1200,,40.6546573,-73.9389901
611,Condo/Co-op,154 Skillman Ave Ph 6B,Williamsburg,NY,11211,925000,1,1,Penthouse B,,,2008,1176,,40.7156903,-73.945029
612,Vacant Land,60 Fillmore St,Staten Island,NY,10301,170000,0,,St. George,,2970,,1154,,40.6447045,-74.0904337
613,Condo/Co-op,514 Beach 139 St Unit B6,Belle Harbor,NY,11694,144900,1,1,Beach Channel Drive Corp,625,,1950,1106,232,40.5773834,-73.8584499
614,Vacant Land,64 Cedarcliff Rd,Staten Island,NY,10301,229900,0,,Grymes Hill,,5708,,1099,,40.6172148,-74.0900061
615,Vacant Land,0 Kemball Ave,Staten Island,NY,10314,100000,0,,Westerleigh,,6500,,1099,,40.615143,-74.124943
616,Multi-Family (2-4 Unit),21 Essex St,call Listing Agent,NY,11208,500000,4,3.5,Brooklyn,2200,2199,1910,1066,227,40.6840041,-73.8835524
617,Condo/Co-op,1211 Nelson Ave Unit 1211B,Bronx,NY,10452,230000,3,2,Bronx,852,,2005,1058,270,40.838233,-73.925304
